iter	Passed	Remaining
692	19985	3085
693	20016	3057
694	20046	3028
695	20077	3000
696	20113	2972
697	20142	2943
698	20172	2914
699	20201	2885
700	20229	2856
701	20259	2828
702	20289	2799
703	20320	2770
704	20349	2742
705	20378	2713
706	20415	2685
707	20474	2660
708	20510	2632
709	20539	2603
710	20563	2574
711	20587	2544
712	20611	2514
713	20634	2485
714	20658	2455
715	20680	2426
716	20704	2396
717	20726	2367
718	20749	2337
719	20773	2308
720	20805	2279
721	20839	2251
722	20870	2222
723	20900	2193
724	20928	2164
725	20957	2136
726	20987	2107
727	21016	2078
728	21046	2049
729	21080	2021
730	21121	1993
731	21177	1967
732	21206	1938
733	21262	1911
734	21309	1884
735	21343	1855
736	21380	1827
737	21446	1801
738	21507	1775
739	21612	1752
740	21667	1725
741	21724	1698
742	21763	1669
743	21797	1640
744	21831	1611
745	21866	1582
746	21901	1553
747	21936	1525
748	21977	1496
749	22009	1467
750	22048	1438
751	22113	1411
752	22153	1382
753	22192	1353
754	22229	1324
755	22264	1295
756	22299	1266
757	22336	1237
758	22372	1208
759	22410	1179
760	22444	1150
761	22485	1121
762	22521	1092
763	22556	1062
764	22593	1033
765	22628	1004
766	22665	975
767	22700	945
768	22732	916
769	22764	886
770	22799	857
771	22839	828
772	22871	798
773	22903	769
774	22935	739
775	22969	710
776	22999	680
777	23031	651
778	23063	621
779	23094	592
780	23124	562
781	23154	532
782	23185	503
783	23216	473
784	23246	444
785	23280	414
786	23309	385
787	23339	355
788	23372	325
789	23408	296
790	23440	266
791	23472	237
792	23506	207
793	23536	177
794	23568	148
795	23598	118
796	23629	88
797	23660	59
798	23692	29
799	23722	0
