iter	Passed	Remaining
669	24202	4696
670	24234	4659
671	24268	4622
672	24301	4585
673	24332	4548
674	24364	4512
675	24396	4475
676	24427	4438
677	24460	4401
678	24495	4365
679	24526	4328
680	24559	4291
681	24591	4254
682	24623	4218
683	24653	4180
684	24682	4143
685	24715	4107
686	24746	4070
687	24777	4033
688	24809	3996
689	24838	3959
690	24867	3922
691	24898	3885
692	24929	3849
693	24960	3812
694	24990	3775
695	25024	3739
696	25056	3702
697	25086	3665
698	25119	3629
699	25150	3592
700	25182	3556
701	25212	3519
702	25246	3483
703	25277	3446
704	25315	3411
705	25349	3375
706	25378	3338
707	25410	3301
708	25441	3265
709	25473	3229
710	25503	3192
711	25535	3156
712	25567	3119
713	25598	3083
714	25630	3047
715	25661	3010
716	25693	2974
717	25725	2937
718	25758	2901
719	25794	2866
720	25824	2829
721	25854	2793
722	25885	2756
723	25916	2720
724	25946	2684
725	25980	2648
726	26011	2611
727	26043	2575
728	26073	2539
729	26107	2503
730	26141	2467
731	26171	2431
732	26203	2395
733	26236	2359
734	26270	2323
735	26301	2287
736	26334	2251
737	26365	2214
738	26401	2179
739	26435	2143
740	26466	2107
741	26500	2071
742	26535	2035
743	26565	1999
744	26596	1963
745	26628	1927
746	26659	1891
747	26689	1855
748	26719	1819
749	26751	1783
750	26784	1747
751	26814	1711
752	26846	1675
753	26879	1639
754	26911	1604
755	26943	1568
756	26975	1532
757	27008	1496
758	27042	1460
759	27077	1425
760	27109	1389
761	27141	1353
762	27173	1317
763	27206	1281
764	27238	1246
765	27268	1210
766	27303	1174
767	27334	1138
768	27364	1103
769	27398	1067
770	27432	1031
771	27463	996
772	27497	960
773	27532	924
774	27566	889
775	27598	853
776	27629	817
777	27661	782
778	27695	746
779	27727	710
780	27761	675
781	27804	639
782	27893	605
783	27946	570
784	28003	535
785	28047	499
786	28088	463
787	28117	428
788	28150	392
789	28178	356
790	28206	320
791	28234	285
792	28266	249
793	28303	213
794	28339	178
795	28394	142
796	28432	107
797	28470	71
798	28507	35
799	28544	0
